id_building,energy_site_eui_post_odcv
BOS_105066,37.7
BOS_105067,209.7
BOS_105068,54.5
BOS_105069,142.1
BOS_105086,35.4
BOS_105115,50.9
BOS_105127,198.0
BOS_105131,46.6
BOS_105132,44.6
BOS_105156,59.2
BOS_105159,61.0
BOS_105166,36.1
BOS_105167,27.9
BOS_105169,31.5
BOS_105173,185.3
BOS_105178,47.5
BOS_105179,38.2
BOS_105186,14.6
BOS_105187,56.8
BOS_105189,46.2
BOS_105190,50.6
BOS_105191,298.2
BOS_105215,128.8
BOS_105246,44.5
BOS_105250,65.9
BOS_105254,73.9
BOS_105256,51.7
BOS_105257,66.2
BOS_105259,49.6
BOS_105267,41.4
BOS_105302,45.9
BOS_105304,81.5
BOS_105308,42.6
BOS_105354,66.0
BOS_105420,23.3
BOS_105430,70.8
BOS_105433,177.9
BOS_105523,87.8
BOS_105525,21.1
BOS_105592,58.9
BOS_105612,72.8
BOS_105613,60.8
BOS_105631,43.4
BOS_105639,41.6
BOS_105641,41.6
BOS_105642,47.5
BOS_105643,64.7
BOS_105665,76.5
BOS_105676,51.1
BOS_105692,32.2
BOS_105699,71.9
BOS_105700,52.2
BOS_105708,95.7
BOS_105712,39.5
BOS_105713,55.0
BOS_105768,213.8
BOS_105769,90.0
BOS_105770,101.2
BOS_105779,3.7
BOS_105784,18.6
BOS_105785,44.9
BOS_105786,55.9
BOS_105788,19.4
BOS_105791,29.7
BOS_105793,14.9
BOS_105795,14.9
BOS_105796,17.2
BOS_105800,39.0
BOS_105807,39.3
BOS_105819,45.2
BOS_105828,193.5
BOS_105834,108.3
BOS_105835,102.7
BOS_105840,139.1
BOS_105864,50.0
BOS_105865,44.9
BOS_105876,97.9
BOS_105888,105.6
BOS_105895,74.0
BOS_105947,169.0
BOS_105949,337.4
BOS_105955,44.6
BOS_105956,65.5
BOS_105958,31.3
BOS_105968,64.1
BOS_105977,32.8
BOS_105991,86.3
BOS_105993,20.2
BOS_105995,110.8
BOS_105996,113.5
BOS_106009,52.4
BOS_106016,37.5
BOS_106017,56.3
BOS_106041,40.8
BOS_106042,43.6
BOS_106044,10.2
BOS_106064,102.0
BOS_106068,30.0
BOS_106077,41.7
BOS_106086,35.6
BOS_106087,40.2
BOS_106091,74.6
BOS_106092,42.8
BOS_106094,65.1
BOS_106097,94.6
BOS_106098,60.6
BOS_106100,53.1
BOS_106101,44.5
BOS_106120,114.9
BOS_106121,77.2
BOS_106135,44.9
BOS_106154,41.0
BOS_106165,28.7
BOS_106172,32.6
BOS_106190,138.7
BOS_106245,49.8
BOS_106247,44.7
BOS_106271,252.3
BOS_106277,83.1
BOS_106280,62.8
BOS_106281,130.4
BOS_106287,224.9
BOS_106288,54.8
BOS_106289,37.2
BOS_106294,94.6
BOS_106295,50.3
BOS_106297,44.9
BOS_106298,64.7
BOS_106299,33.8
BOS_106300,140.0
BOS_106306,111.9
BOS_106307,68.3
BOS_106312,42.3
BOS_106315,50.7
BOS_106316,84.4
BOS_106317,36.3
BOS_106318,192.2
BOS_106319,77.3
BOS_106320,108.4
BOS_106321,71.3
BOS_106322,46.6
BOS_106326,44.2
BOS_106327,48.6
BOS_106328,55.6
BOS_106330,39.8
BOS_106340,56.9
BOS_106341,189.5
BOS_106343,122.9
BOS_106348,177.4
BOS_106371,23.1
BOS_106392,111.1
BOS_106401,50.6
BOS_106404,33.6
BOS_106410,76.5
BOS_106411,40.9
BOS_106412,42.1
BOS_106417,31.1
BOS_106418,36.7
BOS_106419,30.3
BOS_106425,41.3
BOS_106428,35.9
BOS_106442,37.5
BOS_106444,55.1
BOS_106445,98.8
BOS_106475,66.6
BOS_106517,89.0
BOS_106528,26.3
BOS_106618,32.8
BOS_106673,59.7
BOS_106682,113.7
BOS_106702,31.4
BOS_106703,50.4
BOS_106704,31.6
BOS_106706,10.3
BOS_106708,6.3
BOS_106712,40.8
BOS_106713,67.7
BOS_106714,68.7
BOS_106715,16.6
BOS_106716,42.0
