1008470062,78.1,46.06344993,under,41
1008480043,58,82.76967885,over,42.7
1008490016,79.3,52.23900254,under,34.1
1008490031,72.1,25.50299107,under,64.6
1008490063,86.2,62.35779852,under,27.7
1008490070,82.9,25.69608371,under,69
1008500001,114.3,36.67173869,under,67.9
1008500012,91.4,73.02088913,under,20.1
1008500025,75.2,33.460595,under,55.5
1008510001,92.4,18.35684087,under,80.1
1008510035,74.6,46.00420511,under,38.3
1008510041,126.8,63.5061762,under,49.9
1008550016,70,36.90338486,under,47.3
1008550024,70,61.34704489,under,12.4
1008550037,97.7,95.9673181,under,1.8
1008560009,80.1,57.36362464,under,28.4
1008560024,103.7,80.48875465,under,22.4
1008560058,87.1,35.25514513,under,59.5
1008570024,102.2,78.16205307,under,23.5
1008570038,79.7,65.89780557,under,17.3
1008570062,113.2,64.99174278,under,42.6
1008570076,95.3,34.78460518,under,63.5
1008580006,70.5,26.49809032,under,62.4
1008580022,112.2,24.65413275,under,78
1008580049,100,26.4090967,under,73.6
1008580078,93.6,26.64395367,under,71.5
1008590015,108.8,21.34351648,under,80.4
1008590024,86.8,27.92574167,under,67.8
1008590039,69.3,46.80554723,under,32.5
1008590048,103.9,53.1738515,under,48.8
1008590052,77.7,64.01900793,under,17.6
1008590064,90.1,26.10480572,under,71
1008590072,83.8,35.83242423,under,57.2
1008600001,69.6,14.29141131,under,79.5
1008600045,89.1,28.57857445,under,67.9
1008600049,52.8,35.12954953,under,33.5
1008610001,111.2,82.414229,under,25.9
1008610003,71.4,33.9515522,under,52.4
1008610022,57.6,46.70092379,under,18.9
1008610044,116.5,26.87264952,under,76.9
1008610047,77.8,37.57071476,under,51.7
1008610049,105.5,65.40640806,under,38
1008610057,41.6,21.52294758,under,48.3
1008610064,76.8,47.33811412,under,38.4
1008610072,111.4,23.30929278,under,79.1
1008610075,90.5,101.2949391,over,11.9
1008620013,101.3,45.910532,under,54.7
1008620016,91.7,35.56078554,under,61.2
1008620026,78.3,29.92265518,under,61.8
1008620029,,45.8,under,33.9
1008620045,96.7,67.40612535,under,30.3
1008630004,104.7,77.44764461,under,26
1008630006,78.5,51.43260288,under,34.5
1008630013,88.6,39.22000755,under,55.7
1008630027,134.7,64.26920182,under,52.3
1008630029,92.5,21.11509357,under,77.2
1008630060,84.2,20.60423498,under,75.5
1008630067,76.2,38.97023804,under,48.9
1008640025,97,67.29888946,under,30.6
1008650071,62.4,91.54156894,over,46.7
1008660001,83.6,33.54826712,under,59.9
1008660076,87.9,56.26069087,under,36
1008670001,,57.3,under,46
1008670015,110.5,52.40222002,under,52.6
1008670018,,103.8,over,8.5
1008670070,75.9,74.48575576,under,1.9
1008680008,110.8,51.07445136,under,53.9
1008680010,76.2,107.6748716,over,41.3
1008680012,74.1,78.87742393,over,6.4
1008680016,114.9,64.41907226,under,43.9
1008680025,118.4,71.81182872,under,39.3
1008680072,60.2,51.90321311,under,13.8
1008690016,86.8,50.20574598,under,42.2
1008690020,71.4,33.96994712,under,52.4
1008690034,104.8,82.60147269,under,21.2
1008690054,123.5,86.24928519,under,30.2
1008690058,110.4,66.21388852,under,40
1008690064,101.4,33.95155219,under,66.5
1008690066,94.7,75.89048922,under,19.9
1008710003,100.1,37.62676509,under,62.4
1008710060,96,40.52872429,under,57.8
1008710068,194.2,50.75305863,under,73.9
1008710070,105.9,46.60642525,under,56
1008720013,76.9,38.86958891,under,49.5
1008730067,92.1,34.39671567,under,62.7
1008740001,132.3,54.54588419,under,58.8
1008740004,119.8,36.08057367,under,69.9
1008760001,53.6,45.40832885,under,15.3
1008760006,106.7,74.13135465,under,30.5
1008780001,105.5,86.15944971,under,18.3
1008780065,83,33.64536372,under,59.5
1008790081,118.6,49.1578983,under,58.6
1008800014,126.7,41.94064467,under,66.9
1008800084,97,42.90669154,under,55.8
1008810001,126.7,56.20645357,under,55.6
1008810029,99.8,33.95155219,under,66
1008820003,72.7,50.32214957,under,30.8
1008820076,90.1,54.00067512,under,40.1
1008820085,88.3,33.10622031,under,62.5
1008830001,104.9,52.96002186,under,49.5
1008830088,92.2,48.91298367,under,46.9
1008860001,75.7,21.10428967,under,72.1
1008870082,70.8,28.51474485,under,59.7
1008870095,88.6,31.70081569,under,64.2
1008880024,103,68.73433112,under,33.3
1008880027,57.7,62.33475312,over,8
1008950001,103.4,71.43421354,under,30.9
1008950045,90.9,85.50879662,under,5.9
1009030047,102.8,42.81758771,under,58.3
1009200012,87.1,74.5785555,under,14.4
1009930001,99.4,30.5312304,under,69.3
1009930011,74.6,45.4783416,under,39
1009930022,93.9,39.42150717,under,58
1009930029,74.9,57.22024223,under,23.6
1009930036,109.6,44.17304572,under,59.7
1009930047,86.6,47.43959074,under,45.2
1009930055,59.6,54.72738973,under,8.2
1009940001,77.6,40.10977804,under,48.3
1009940045,139,59.70009731,under,57.1
1009950005,84.5,84.86748293,over,0.4
1009960001,74.7,99.32872524,over,33
1009960029,99.8,63.78922127,under,36.1
1009970029,74.5,49.77805509,under,33.2
1009970041,78.1,66.76566531,under,14.5
1009980024,74.9,65.8108323,under,12.1
1009980029,81.1,66.60588813,under,17.9
1009990003,112.1,34.84980751,under,68.9
1009990009,110.9,30.53121321,under,72.5
1009990029,104.1,82.86560297,under,20.4
1010000029,113.1,95.54655851,under,15.5
1010010029,103.5,77.21329074,under,25.4
1010020001,95.8,120.2541388,over,25.5
1010030005,81.1,38.21816794,under,52.9
1010030029,89.3,62.47000148,under,30
1010040020,96.5,85.13025419,under,11.8
1010040029,148.4,96.07096863,under,35.3
1010050029,114.9,74.8142471,under,34.9
1010060013,79.1,56.15312022,under,29
1010070029,82.1,92.07833085,over,12.2
1010080019,80.3,68.45100241,under,14.8
1010080037,60.8,34.16380894,under,43.8
1010090005,93.4,58.09627829,under,37.8
1010100021,90.6,67.81088482,under,25.2
1010120015,88.8,78.87325386,under,11.2
1010120023,81,37.47274654,under,53.7
1010130029,94.4,33.70937585,under,64.3
1010130042,94.1,71.8761989,under,23.6
1010140033,46.9,55.62349111,over,18.6
1010150029,113.3,80.50159666,under,28.9
1010160036,99.1,79.54082023,under,19.7
1010210019,94.1,73.78898451,under,21.6
1010210026,103.3,72.56434181,under,29.8
1010220043,110.1,82.12677269,under,25.4
1010240015,51.1,38.98670314,under,23.7
1010240038,111.1,93.83496645,under,15.5
1010250025,95.7,82.40659663,under,13.9
1010250054,102,24.15819951,under,76.3
1010260032,97,19.75688336,under,79.6
1010260055,84.7,61.75597441,under,27.1
1010270020,60.2,48.75492494,under,19
1010280029,117.3,97.15678402,under,17.2
1010280056,,52,under,28.7
1010290012,121.9,29.63121499,under,75.7
1010290053,93.9,97.24389727,over,3.6
1010320048,69.3,13.12833938,under,81.1
1010350001,131,69.68814881,under,46.8
1010350017,,46.5,under,42.2
1010400029,126.1,91.82789724,under,27.2
1010430013,113.9,33.14650222,under,70.9
1010480033,72.1,95.76779011,over,32.8
1010540041,52.6,30.53124155,under,42
1010650012,49.3,51.84563009,over,5.2
1010750001,76.4,44.23523739,under,42.1
1010850023,50.9,279.2507464,over,448.6
1010980029,51.4,3.107941188,under,94
1010990021,78,97.34951084,over,24.8
1011020018,83,104.3617422,over,25.7
1011130008,120.3,33.9515522,under,71.8
1012580009,111.8,68.27879482,under,38.9
1012580021,86.8,37.79856091,under,56.5
1012580034,79,73.80781525,under,6.6
